step,loss_total,loss_base,loss_atomic_numbers,loss_pos,loss_cell,raw_atomic_tcl,raw_position_tcl,raw_position_anchor,raw_cell_anchor,weighted_atomic_tcl,weighted_position_tcl,weighted_position_anchor,weighted_cell_anchor,balance_atomic_tcl,balance_position_tcl,balance_position_anchor,balance_cell_anchor,warmup_fraction,preclip_gradient_l2,clip_triggered,t_low_mean,t_high_mean,step_seconds
1,0.2260577231645584,0.2260577231645584,0.10669685900211334,1.1131325960159302,0.008047607727348804,2.3748972415924072,0.3172781467437744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6455872058868408,False,0.2572062611579895,0.7946456074714661,1.3285463228821754
2,0.22231821715831757,0.22151105105876923,0.0990094318985939,1.091033697128296,0.013398265466094017,1.9845407009124756,0.4117075204849243,0.00038433491135947406,0.0006117724115028977,0.0006681954837404191,0.00013862205378245562,1.9894203262538213e-07,1.5422814669818763e-07,1.0,1.0,1.0,1.0,0.010101010091602802,0.23058947920799255,False,0.2568410336971283,0.7407593727111816,0.2994970011059195
3,0.3634549379348755,0.3620293140411377,0.1308377981185913,2.2515974044799805,0.006031777709722519,1.7342389822006226,0.3825143575668335,0.00016727345064282417,5.6483833759557456e-05,0.0011678376467898488,0.00025758540141396224,1.6551467751924065e-07,3.416169391812218e-08,1.0,1.0,1.0,1.0,0.020202020183205605,0.2615889012813568,False,0.22771988809108734,0.7255561947822571,0.3269826639443636
4,0.30963972210884094,0.30703413486480713,0.10698734223842621,1.9259426593780518,0.007452518679201603,2.1809089183807373,0.3979754149913788,0.0003193200100213289,0.00017774819571059197,0.002202938310801983,0.0004019953776150942,5.072974431641342e-07,1.336768917781228e-07,1.0,1.0,1.0,1.0,0.03030303120613098,0.25889378786087036,False,0.2593570947647095,0.7241318225860596,0.30743711604736745
5,0.2717970311641693,0.2682816982269287,0.11584284156560898,1.4625667333602905,0.006182188633829355,2.1863043308258057,0.4200873374938965,0.0023099868558347225,0.00038262957241386175,0.0029445174150168896,0.0005657741567119956,4.6753339120186865e-06,3.70345162536978e-07,1.0,1.0,1.0,1.0,0.04040404036641121,0.20020568370819092,False,0.27146393060684204,0.7727434635162354,0.3081395011395216
6,0.35135239362716675,0.3458399474620819,0.13113747537136078,2.0589969158172607,0.008802764117717743,2.6031758785247803,0.6686207056045532,0.0014624265022575855,0.000236026244238019,0.004382451064884663,0.0011256240541115403,3.953613031626446e-06,4.18259531898002e-07,1.0,1.0,1.0,1.0,0.05050504952669144,0.2898499369621277,False,0.2177436202764511,0.7258433699607849,0.30135255586355925
7,0.3889467418193817,0.38360536098480225,0.16247090697288513,1.9468555450439453,0.02644888311624527,2.2846860885620117,0.35633158683776855,0.0017841665539890528,0.00020556878007482737,0.004615527577698231,0.000719861825928092,5.5548898671986535e-06,4.2615619122443604e-07,1.0,1.0,1.0,1.0,0.06060606241226196,0.32560133934020996,False,0.32011160254478455,0.7809849977493286,0.30499475891701877
8,0.21215127408504486,0.20592506229877472,0.07066110521554947,1.317704439163208,0.0034935143776237965,2.2123749256134033,0.42858561873435974,0.0002684239880181849,0.00042653977288864553,0.005214351695030928,0.0010101344669237733,1.0169889037570101e-06,7.065063414302131e-07,1.0,1.0,1.0,1.0,0.07070706784725189,0.10475417226552963,False,0.23595571517944336,0.7352774739265442,0.27944536902941763
9,0.2502007484436035,0.24363422393798828,0.13540144264698029,1.047637701034546,0.0034690117463469505,2.091090679168701,0.34620237350463867,0.00015367247397080064,0.00018210569396615028,0.005632567219436169,0.0009325316059403121,9.703172736408305e-07,4.447919650374388e-07,1.0,1.0,1.0,1.0,0.08080808073282242,0.4484982192516327,False,0.2741244435310364,0.7661000490188599,0.29799623088911176
10,0.291014164686203,0.28252220153808594,0.13694101572036743,1.4155771732330322,0.004023469053208828,2.428853750228882,0.36891070008277893,0.0026949835009872913,0.0006591484416276217,0.007360162679105997,0.0011179111897945404,1.2616465937753674e-05,1.2612595128302928e-06,1.0,1.0,1.0,1.0,0.09090909361839294,0.22961877286434174,False,0.26271191239356995,0.7323005199432373,0.2978542309720069
